task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5137	a4/8dcadf	6404080	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:28.483	1m 22s	33s	98.4%	137.6 MB	246 MB	509.6 MB	163.8 MB
5141	a7/63451e	6404083	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:31.483	1m 19s	2s	92.8%	24.9 MB	110.7 MB	304.2 MB	7.8 MB
5140	f7/313a70	6404085	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:33.484	1m 17s	4s	97.0%	117.8 MB	224.9 MB	327 MB	28.9 MB
5138	3a/d8ca65	6404086	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:34.483	1m 16s	2s	95.4%	105.9 MB	169.7 MB	299.1 MB	3.7 MB
5143	ca/fa2282	6404087	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:35.483	1m 15s	2s	96.7%	122 MB	232.8 MB	330.2 MB	32.7 MB
5145	9e/c3504c	6404088	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:36.483	1m 14s	5s	97.2%	119.5 MB	224.9 MB	315.4 MB	15.7 MB
5146	e3/91ed20	6404089	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:37.483	1m 13s	2s	96.4%	3.2 MB	5.5 MB	314.7 MB	17.8 MB
5149	3d/27c569	6404093	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:41.483	1m 9s	10s	96.9%	131 MB	241.3 MB	355.8 MB	47 MB
5144	63/d2a53b	6404091	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:39.483	1m 11s	18s	97.8%	136.1 MB	245.7 MB	423.4 MB	99.9 MB
5147	f1/1fbaa3	6404094	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:42.483	1m 8s	1s	97.0%	3.1 MB	5.5 MB	290.5 MB	589 KB
5148	89/3e9dad	6404090	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:38.483	1m 12s	2s	96.2%	122.1 MB	232.8 MB	303 MB	6.3 MB
5152	b4/44e50c	6404095	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:43.484	1m 7s	1s	97.3%	101.8 MB	161.7 MB	299.1 MB	4.5 MB
5142	b6/081975	6404092	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:40.484	1m 10s	3s	97.9%	3.1 MB	5.5 MB	340.4 MB	41.3 MB
5150	09/e58c3d	6404096	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:44.483	1m 6s	1s	94.1%	57.7 MB	149.2 MB	296.2 MB	3.2 MB
5154	bf/3a00bf	6404097	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:45.484	1m 5s	2s	91.8%	33.6 MB	121.5 MB	302 MB	5.9 MB
5151	22/191bce	6404098	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:46.483	1m 4s	4s	97.2%	122.1 MB	232.8 MB	345.8 MB	44.9 MB
